"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"229","Chilika Lake","Asia","India","","1981-10-01","1981-10-01","116500","19.7","85.34999999999999","Chilika Lake. 01/10/81; Orissa; 116,500 ha; 19°42'N 085°21'E. Added to the Montreux Record, 16 June 1993; removed from the Record, 11 November 2002. Brackish lake separated from the Bay of Bengal by a long sandy ridge and subject to sea water exchange, resulting in extreme seasonal fluctuations in salinity in different sections of the lake. Saline areas support aquatic algae. The site is an important area for breeding, wintering and staging for 33 species of waterbirds. It also supports 118 species of fish, including commercially important species. Significant numbers of people are dependent upon the lake's resources. Placed on the Montreux Record in 1993 due to problems caused by siltation and sedimentation which was choking the mouth of the lake; removed from the Record in 2002 following rehabilitation efforts for which the Chilika Development Authority received the Ramsar Wetland Conservation Award for 2002. Subject of a Ramsar Advisory Mission, 2001. Ramsar site no. 229.","No","Yes","No","No","No","No","No","No","No","Marine or coastal wetlands, K: Coastal freshwater lagoons, J: Coastal brackish / saline lagoons, E: Sand, shingle or pebble shores, Inland wetlands, M: Permanent rivers/ streams/ creeks","","","No","No","No","Cultural Services, Scientific and educational, Recreation and tourism, Provisioning Services, Food for humans","Natural system modifications, Unspecified/others","Orissa State","","","","No","Yes"
"1207","Deepor Beel","Asia","India","","2002-08-19","2002-08-19","4000","26.1333333333333","91.65000000000001","Deepor Beel. 19/08/02. Assam. 4,000 ha. 26°08'N 091°39'E. Sanctuary. A permanent freshwater lake in a former channel of the Brahmaputra river, of great biological importance and also essential as the only major storm water storage basin for the city of Guwahati. The beel is a staging site on migratory flyways and some of the largest concentrations of aquatic birds in Assam can be seen, especially in winter. Some globally threatened birds are supported, including Spotbilled Pelican (Pelicanus philippensis), Lesser and Greater Adjutant Stork (Leptoptilos javanicus and dubius), and Baer's Pochard (Aythya baeri). The 50 fish species present provide livelihoods for a number of surrounding villages, and nymphaea nuts and flowers, as well as ornamental fish, medicinal plants, and seeds of the Giant water lily Euryale ferox provide major revenue sources in local markets; orchids of commercial value are found in the neighboring forest. Potential threats include over-fishing and hunting pressure upon waterbirds, pollution from pesticides and fertilizers, and infestation by water hyacinth Eichhornia crassipes. A proposal to create a sewage canal from the city directly to the beel is considered to be disastrous in its potential effects. Ramsar site no. 1207. Most recent RIS information: 2002.","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, O: Permanent freshwater lakes","53","53","No","No","No","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Genetic materials, Regulating Services, Hazard reduction, Cultural Services, Spiritual and inspirational, Recreation and tourism","Biological resource use, Fishing and harvesting aquatic resources, Logging and wood harvesting, Hunting and collecting terrestrial animals, Invasive and other problematic species and genes, Problematic native species, Pollution, Agricultural and forestry effluents, Household sewage, urban waste water, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Agriculture & aquaculture, Annual and perennial non-timber crops, Transportation and service corridors, Roads and railroads","Assam","","","","No","No"
"1208","East Calcutta Wetlands","Asia","India","","2002-08-19","2002-08-19","12500","22.45","88.45","East Calcutta Wetlands. 19/08/02. West Bengal. 12,500 ha. 22°27'N 088°27'E. World-renowned as a model of a multiple use wetland, the site's resource recovery systems, developed by local people through the ages, have saved the city of Calcutta from the costs of constructing and maintaining waste water treatment plants. The wetland forms an urban facility for treating the city's waste water and utilizing the treated water for pisciculture and agriculture, through the recovery of nutrients in an efficient manner - the water flows through fish ponds covering about 4,000 ha, and the ponds act as solar reactors and complete most of their bio-chemical reactions with the help of solar energy. Thus the system is described as ""one of the rare examples of environmental protection and development management where a complex ecological process has been adopted by the local farmers for mastering the resource recovery activities"" (RIS). The wetland provides about 150 tons of fresh vegetables daily, as well as some 10,500 tons of table fish per year, the latter providing livelihoods for about 50,000 people directly and as many again indirectly. The fish ponds are mostly operated by worker cooperatives, in some cases in legal associations and in others in cooperative groups whose tenurial rights are under legal challenge. A potential threat is seen in recent unauthorized use of the waste water outfall channels by industries which add metals to the canal sludge and threaten the edible quality of the fish and vegetables. Ramsar site no. 1208. Most recent RIS information: 2002.","Yes","No","No","No","No","No","No","No","No","Human-made wetlands, 1: Aquaculture ponds, 8: Wastewater treatment areas, Marine or coastal wetlands, G: Intertidal mud, sand or salt flats","2","2","No","No","No","Regulating Services, Pollution control and detoxification, Erosion protection, Hazard reduction, Provisioning Services, Fresh water, Food for humans, Supporting Services, Nutrient cycling, Cultural Services, Recreation and tourism, Scientific and educational","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Pollution, Industrial and military effluents, Natural system modifications, Vegetation clearance/ land conversion","West Bengal","","","","No","No"
"462","Harike Lake","Asia","India","","1990-03-23","1990-03-23","4100","31.2166666666667","75.2","Harike Lake. 23/03/90; Punjab; 4,100 ha; 31°13'N 075°12'E. Bird Sanctuary. A shallow water reservoir with thirteen islands, at the confluence of two rivers. Dense floating vegetation covers 70% of the lake. An important site for breeding, wintering and staging birds, supporting over 200,000 Anatidae (ducks, geese, swans, etc.) during migration. The entire lake is leased on an annual basis to commercial fishery organizations. Ramsar site no. 462. Most recent RIS information: 1990.","Yes","No","No","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","","","No","Yes","Yes","Provisioning Services, Fresh water, Food for humans","Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Industrial and military effluents, Agricultural and forestry effluents, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Human settlements (non agricultural), Commercial and industrial areas, Agriculture & aquaculture, Annual and perennial non-timber crops","Punjab","","","","No","No"
"1570","Hokera Wetland","Asia","India","","2005-11-08","2005-11-08","1375","34.0833333333","74.7","Hokera Wetland. 08/11/05; Jammu & Kashmir; 1,375 ha; 34°05'N 074°42'E. Located at the northwest Himalayan biogeopgraphic province of Kashmir, back of the snow-draped Pir Panchal (1,584m asl.), Hokera wetland is only 10 km from scenic paradise of Srinagar. A natural perennial wetland contiguous to the Jhelum basin, it is the only site with remaining reedbeds of Kashmir and pathway of 68 waterfowl species like Large Egret, Great Crested Grebe, Little Cormorant, Common Shelduck, Tufted Duck and endangered White-eyed Pochard, coming from Siberia, China, Central Asia, and Northern Europe. It is an important source of food, spawning ground and nursery for fishes, besides offering feeding and breeding ground to a variety of water birds. Typical marshy vegetation complexes inhabit like Typha, Phragmites, Eleocharis, Trapa, and Nymphoides species ranging from shallow water to open water aquatic flora. Sustainable exploitation of fish, fodder and fuel is significant, despite water withdrawals since 1999. Potential threats include recent housing facilities, littered garbage, and demand for increasing tourist facilities. Ramsar site no. 1570. Most recent RIS information: 2005.","No","Yes","No","Yes","Yes","No","No","Yes","No","Inland wetlands, Y: Permanent Freshwater springs; oases, Xf: Freshwater, tree-dominated wetlands, Xp: Permanent Forested peatlands, Zk(b): Karst and other subterranean hydrological systems, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands","1584","1584","No","No","In preparation","Provisioning Services, Wetland non-food products, Food for humans, Fresh water, Regulating Services, Erosion protection, Hazard reduction, Biological control of pests and disease, Maintenance of hydrological regimes, Climate regulation, Cultural Services, Scientific and educational","Pollution, Agricultural and forestry effluents, Garbage and solid waste, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Human settlements (non agricultural), Housing and urban areas, Invasive and other problematic species and genes, Problematic native species, Water regulation, Water abstraction","Jammu and Kashmir State","","","","No","No"
"1160","Kanjli","Asia","India","","2002-01-22","2002-01-22","183","31.4166666666667","75.3666666666667","Kanjli. 22/01/02;. Punjab; 183 ha; 31°25'N 075°22'E. A permanent stream, the Kali Bein, converted by construction of a small barrage in 1870 into a water storage area for irrigation purposes. The site fulfils Criteria 3 because of its importance in supporting a considerable diversity of aquatic, mesophytic, and terrestrial flora and fauna in the biogeographical region, and acts also as a key regulator of groundwater discharge and recharge with the seasons. By this means and by direct abstraction of water for irrigation by the local population, the site plays a crucial role in the agriculture which predominates on the surrounding fertile plain, with fewer pressures upon water supplies than elsewhere in the Punjab. The invasive water hyacinth is present and must be removed from time to time; increasing pollution levels, deforestation in the catchment area, and excessive grazing are seen as potential threats. The stream is considered to be the most significant in the state from the religious point of view, as it is associated with the first guru of the Sikhs, Shri Guru Nanak Dev Ji. The stream itself and surrounding marsh is under provincial ownership and surrounding areas privately owned. The site is a center for environmental tourism and picnicking. Ramsar site no. 1160. Most recent RIS information: 2001.","No","No","Yes","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, M: Permanent rivers/ streams/ creeks","","210","No","Yes","Yes","Regulating Services, Pollution control and detoxification, Hazard reduction, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Cultural Services, Spiritual and inspirational, Recreation and tourism","Natural system modifications, Unspecified/others, Dams and water management/use, Vegetation clearance/ land conversion, Agriculture & aquaculture, Livestock farming and ranching, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Unspecified, Industrial and military effluents, Household sewage, urban waste water, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas","Punjab","","","","No","No"
"1209","Kolleru Lake","Asia","India","","2002-08-19","2002-08-19","90100","16.6166666666667","81.2","Kolleru Lake. 19/08/02. Andhra Pradesh. 90,100 ha. 16°37'N 081°12'E. Wildlife Sanctuary. A natural eutrophic lake, situated between the two major river basins of the Godavari and the Krishna, fed by two seasonal rivers and a number of drains and channels, which functions as a natural flood balancing reservoir between the deltas of the two rivers. It provides habitat for a number of resident and migratory birds, including declining numbers of the vulnerable Grey Pelican (Pelecanus philippensis), and sustains both culture and capture fisheries, agriculture and related occupations of the people in the area. Damage and losses due to flooding in monsoon seasons and partial drying out during summers, the results of inadequate management planning and action, are seen as areas for improvement. WWF-India has been of great assistance in preparing the site's designation. Ramsar site no. 1209. Most recent RIS information: 2002.","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Inland wetlands, O: Permanent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, Human-made wetlands, 1: Aquaculture ponds, Marine or coastal wetlands, K: Coastal freshwater lagoons","5","0","No","No","In preparation","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Recreation and tourism, Provisioning Services, Food for humans","Natural system modifications, Dams and water management/use, Unspecified/others, Vegetation clearance/ land conversion, Agriculture & aquaculture, Annual and perennial non-timber crops, Marine and freshwater aquaculture, Water regulation, Drainage, Salinisation, Transportation and service corridors, Roads and railroads, Climate change & severe weather, Storms and flooding, Invasive and other problematic species and genes, Problematic native species","Andhra Pradesh","","","","No","No"
"463","Loktak Lake","Asia","India","","1990-03-23","1990-03-23","26600","24.4333333333333","93.81666666666671","Loktak Lake. 23/03/90; Manipur; 26,600 ha; 24°26'N 093°49'E. Added to the Montreux Record, 16 June 1993. A large, but shrinking freshwater lake and associated swamplands supplied by several streams. Thick, floating mats of weeds covered with soil (phumids') are a characteristic feature. The lake is used extensively by local people as a source of water for irrigation and domestic use and is an important wintering and staging area for waterbirds, particularly ducks. It also plays an important role in flood control. Included on the Montreux Record in 1993 as a result of ecological problems such as deforestation in the catchment area, infestation of water hyacinth, and pollution. The construction of a dam for hydroelectric power generation and irrigation purposes has caused the local extinction of several native fish species. Ramsar site no. 463. Most recent RIS information: 1990.","Yes","Yes","No","No","No","No","No","No","No","Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Human-made wetlands, 3: Irrigated land, 6: Water storage areas/Reservoirs","","","Yes","No","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Food for humans","Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Unspecified","Manipur","","","","No","No"
"2078","Nalsarovar","Asia","India","","2012-09-24","2012-09-24","12000","22.7758333333","72.0391666667","Nalsarovar Bird Sanctuary. 24/09/12; Gujarat; 12,000 ha; 22°46'33""N 072°02'21""E. Wildlife Sanctuary. A natural freshwater lake (a relict sea) that is the largest natural wetland in the Thar Desert Biogeographic Province and represents a dynamic environment with salinity and depth varying depending on rainfall. The area is home to 210 species of birds, with an average 174,128 individuals recorded there during the winter and 50,000 in the summer. It is an important stopover site within the Central Asia Flyway, with globally threatened species such as the critically endangered Sociable Lapwing (Vanellus gregarius) and the vulnerable Marbled Teal (Marmaronetta angustirostris) stopping over at the site during migration, while the vulnerable Sarus Crane (Grus antigone) takes refuge there during summer when other water bodies are dry. The wetland is also a lifeline for a satellite population of the endangered Indian Wild Ass (Equus hemionus khur) which uses this area in the dry season. Local communities heavily rely on the lake as it provides them with a source of drinking water and water for irrigiation, as well as an important source of income from fishing for Catla fish (Catla Catla) and Rohu (Labeo rohita). An average of 75,000 tourists visit the wetland annually. Ramsar Site no. 2078. Most recent RIS information: 2012.","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Inland wetlands, O: Permanent freshwater lakes, P: Seasonal/ intermittent freshwater lakes, Q: Permanent saline/ brackish/ alkaline lakes, R: Seasonal/ intermittent saline/ brackish/ alkaline lakes and flats","9","9","No","Yes","Yes","Regulating Services, Hazard reduction, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Food for humans, Wetland non-food products, Cultural Services, Spiritual and inspirational","Water regulation, Water abstraction, Pollution, Industrial and military effluents, Biological resource use, Fishing and harvesting aquatic resources","Gujarat State","","","","No","No"
"1210","Point Calimere Wildlife and Bird Sanctuary","Asia","India","","2002-08-19","2002-08-19","38500","10.3166666666667","79.6333333333333","Point Calimere Wildlife and Bird Sanctuary. 19/08/02. Tamil Nadu. 38,500 ha. 10°19'N 079°38'E. Wildlife Sanctuary. A coastal area consisting of shallow waters, shores, and long sand bars, intertidal flats and intertidal forests, chiefly mangrove, and seasonal, often-saline lagoons, as well as human-made salt exploitation sites. Some 257 species of birds have been recorded, 119 of them waterbirds, including the vulnerable species Spoonbill Sandpiper (Euryhorhynchus pygmaeus) and Grey Pelican (Pelecanus philippensis) and some 30,000 Greater and Lesser Flamingos. The site serves as the breeding ground or nursery for many commercially important species of fish, as well as for prawns and crabs. Some 35,000 fishermen and agriculturalists support their families around the borders of the sanctuary. Illegal collection of firewood and forest produce such as fruits (gathered by lopping off tree branches), the spread of Prosopis chilensis (Chilean mesquite), increasingly brackish groundwater caused by expansion of the historical salt works, and decreasing inflow of freshwater are all seen as potential causes for concern. Visitors come to the site both for recreation and for pilgrimage, as it is associated with Lord Rama. Ramsar site no. 1210. Most recent RIS information: 2002.","No","Yes","No","No","Yes","Yes","No","Yes","No","Marine or coastal wetlands, A: Permanent shallow marine waters, E: Sand, shingle or pebble shores, I: Intertidal forested wetlands, J: Coastal brackish / saline lagoons, G: Intertidal mud, sand or salt flats, Human-made wetlands, 5: Salt exploitation sites","6","0","No","No","In preparation","Provisioning Services, Wetland non-food products, Food for humans, Fresh water, Regulating Services, Hazard reduction, Erosion protection, Cultural Services, Recreation and tourism, Spiritual and inspirational","Biological resource use, Gathering terrestrial plants, Fishing and harvesting aquatic resources, Logging and wood harvesting, Hunting and collecting terrestrial animals, Invasive and other problematic species and genes, Invasive non-native/ alien species, Energy production and mining, Mining and quarrying, Agriculture & aquaculture, Livestock farming and ranching, Natural system modifications, Dams and water management/use, Vegetation clearance/ land conversion, Pollution, Industrial and military effluents, Household sewage, urban waste water, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Water regulation, Salinisation","Tamil Nadu","","","","No","No"
"1211","Pong Dam Lake","Asia","India","","2002-08-19","2002-08-19","15662","32.0166666666667","76.0833333333333","Pong Dam Lake. 19/08/02. Himachal Pradesh. 15,662 ha. 32°01'N 076°05'E. Wildlife Sanctuary. A water storage reservoir created in 1975 on the Beas River in the low foothills of the Himalaya on the northern edge of the Indo-Gangetic plain. The RIS notes that ""at a time when wetlands in northern India are getting reduced due to extensive drainage and reclamation, the avian habitats formed by the creation of the Pong Dam assume a great significance"" - given the site's location on the trans-Himalayan flyway, more than 220 bird species have been identified, with 54 species of waterfowl. Hydrological values include monsoon-season flood prevention, both in the surroundings and downstream due to water regulation, groundwater recharge, silt trapping and prevention of soil erosion; electricity is generated for this and neighboring states, and irrigation water is being channeled to fertile areas of the Punjab and Rajasthan deserts. Low-yield subsistence fishing existed prior to impoundment, but since, a lucrative fishery has grown up, with 27 fish species and a yield increasing markedly each year - some 1800 fishermen now have direct employment and 1000 families benefit indirectly. A nature conservation education centre is found on the island of Ransar or Ramsar (sic). Recent management strategies have shifted away from law enforcement and use restrictions towards more participatory approaches and community awareness, and the site is well suited to ""community-based ecotourism"". Ramsar site no. 1211. Most recent RIS information: 2002.","No","Yes","No","No","Yes","No","No","Yes","No","Human-made wetlands, 6: Water storage areas/Reservoirs","450","450","No","Yes","Yes","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Erosion protection, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational","Natural system modifications, Vegetation clearance/ land conversion, Dams and water management/use, Biological resource use, Hunting and collecting terrestrial animals, Fishing and harvesting aquatic resources, Logging and wood harvesting, Energy production and mining, Renewable energy, Agriculture & aquaculture, Annual and perennial non-timber crops","Himachal Pradesh","","","","No","No"
"1212","Sasthamkotta Lake","Asia","India","","2002-08-19","2002-08-19","373","9.03333333333333","76.6166666666667","Sasthamkotta Lake. 19/08/02. Kerala. 373 ha. 09°02'N 076°37'E. The largest freshwater lake in Kerala state in the southwest of the country, spring-fed and the source of drinking water for half a million people in the Kollam district. Some 27 freshwater fish species are present. The water contains no common salts or other minerals and supports no water plants; a larva called ""cavaborus"" abounds and eliminates bacteria in the water, thus contributing to its exceptional purity. The ancient Sastha temple is an important pilgrimage centre. WWF-India has been of great assistance in preparing the site's designation. Ramsar site no. 1212. Most recent RIS information: 2002.","Yes","Yes","No","No","No","No","Yes","Yes","No","Inland wetlands, O: Permanent freshwater lakes","33","33","No","No","In preparation","Cultural Services, Spiritual and inspirational, Recreation and tourism, Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes","Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Annual and perennial non-timber crops","Kerala District","","","","No","No"
"1571","Renuka Wetland","Asia","India","","2005-11-08","2005-11-08","20","31.6166666667","77.45","Renuka Wetland. 08/11/05; Himachal Pradesh; 20 ha; 31°37'N 077°27'E. Wildlife Sanctuary, Reserve Forest. A natural wetland with freshwater springs and inland subterranean karst formations, fed by a small stream flowing from the lower Himalayan out to the Giri river. The lake is home to at least 443 species of fauna and 19 species of ichthyofauna representative of lacustrine ecosystems like Puntius, Labeo, Rasbora, Channa. Prominent vegetation ranges from dry deciduous like Shorea Robusta, Terminalia tomentosa, Dalbergia sissoo to hydrophytes. There are 103 species of birds of which 66 are residents, e.g. Crimson-breasted barbet, Mayna, Bulbul, Pheasants, Egrets, Herons, Mallards and Lapwing. Among ungulates Sambhar, Barking deer and Ghorals are also abundant in the area. The lake has high religious significance and is named after the mother of Hindu sage Parshuram, and is thus visited by thousands of pilgrims and tourists. Conservation measures so far include community awareness, and prevention of silt influx from eroded slopes and 50 ha. of massive plantation in the catchment. The site is managed by the Shimla Forest Department, Himachal Pradesh. Ramsar site no. 1571. Most recent RIS information: 2005.","No","No","Yes","Yes","No","No","No","No","No","Inland wetlands, Y: Permanent Freshwater springs; oases, W: Shrub-dominated wetlands, Xf: Freshwater, tree-dominated wetlands, U: Permanent Non-forested peatlands, Xp: Permanent Forested peatlands, Zk(b): Karst and other subterranean hydrological systems","660","660","No","No","In preparation","Provisioning Services, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity","Natural system modifications, Vegetation clearance/ land conversion, Unspecified/others, Agriculture & aquaculture, Livestock farming and ranching, Human settlements (non agricultural), Housing and urban areas, Biological resource use, Gathering terrestrial plants, Transportation and service corridors, Roads and railroads, Geological events, Avalanches/landslides, Invasive and other problematic species and genes, Problematic native species","Himachal Pradesh State","","","","No","No"
"1161","Ropar","Asia","India","","2002-01-22","2002-01-22","1365","31.0166666666667","76.5","Ropar. 22/01/02; Punjab; 1,365 ha; 31°01'N 076°30'E. National Wetland. A humanmade wetland of lake and river formed by the 1952 construction of a barrage for diversion of water from the Sutlej River for drinking and irrigation supplies. The site is an important breeding place for the nationally protected Smooth Indian Otter, Hog Deer, Sambar, and several reptiles, and the endangered Indian Pangolin (Manis crassicaudata) is thought to be present. Some 35 species of fish play an important role in the food chain, and about 150 species of local and migratory birds are supported. Local fisheries are economically significant, and wheat, rice, sugar cane, and sorghum are cultivated in the surrounding area. Deforested local hills leading to siltation, and increasing industrialization causing an inflow of pollutants, are potential threats, and invasive weeds are a further cause for concern. Nature lovers, birdwatchers, swimmers and boaters visit the site in considerable numbers. Ramsar site no. 1161.Most recent RIS information: 2001.","No","Yes","Yes","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, O: Permanent freshwater lakes, M: Permanent rivers/ streams/ creeks","275","275","No","No","No","Regulating Services, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Food for humans, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational","Natural system modifications, Unspecified/others, Biological resource use, Hunting and collecting terrestrial animals, Fishing and harvesting aquatic resources, Pollution, Agricultural and forestry effluents, Industrial and military effluents, Household sewage, urban waste water, Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Invasive and other problematic species and genes, Invasive non-native/ alien species","Punjab","","","","No","No"
"464","Sambhar Lake","Asia","India","","1990-03-23","1990-03-23","24000","27","75","Sambhar Lake. 23/03/90; Rajasthan; 24,000 ha; 27°00'N 075°00'E. A large saline lake fed by four streams set in a shallow wetland and subject to seasonal fluctuations. It is surrounded by sand flats and dry thorn scrub and fed by seasonal rivers and streams. The site is important for a variety of wintering waterbirds, including large numbers of flamingos. Human activities consist of salt production and livestock grazing. Ramsar site no. 464. Most recent RIS information: 1990.","Yes","No","No","No","No","No","No","No","No","Inland wetlands, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Q: Permanent saline/ brackish/ alkaline lakes, R: Seasonal/ intermittent saline/ brackish/ alkaline lakes and flats, Human-made wetlands, 5: Salt exploitation sites","2","1","No","No","In preparation","","Pollution, Household sewage, urban waste water, Human settlements (non agricultural), Housing and urban areas, Natural system modifications, Unspecified/others, Agriculture & aquaculture, Non specified","Rajasthan","","","","No","No"
"1573","Surinsar-Mansar Lakes","Asia","India","","2005-11-08","2005-11-08","350","32.75","75.2","Surinsar-Mansar Lakes. 08/11/05; Jammu & Kashmir; 350 ha; 32°45'N 075°12'E. Wildlife Sanctuary, Hindu sacred site. Freshwater composite lake in semi-arid Panjab Plains, adjoining the Jhelum Basin with catchment of sandy conglomeratic soil, boulders and pebbles. Surinsar is rain-fed without permanent discharge, and Mansar is primarily fed by surface run-off and partially by mineralised water through paddy fields, with inflow increasing in rainy season. The lake supports CITES and IUCN Redlisted Lissemys punctata, Aspideretes gangeticus, and Mansariella lacustris. This composite lake is high in micro nutrients for which it is an attractive habitat, breeding and nursery ground for migratory waterfowls like Fulica atra, Gallinula chloropus, Podiceps nigricollis, Aythya fuligula, and various Anas species. The site is socially and culturally very important with many temples around owing to its mythical origin from the Mahabharata period. Although the lakes support variety of fishes, fishing is discouraged for religious values. The main threats are increasing visitors, agricultural runoff, bathing and cremation rituals. Conservation is focused on awareness-raising. Ramsar site no.1573. Most recent RIS information: 2005.","No","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, O: Permanent freshwater lakes","710","605","No","No","In preparation","Provisioning Services, Fresh water, Wetland non-food products, Cultural Services, Spiritual and inspirational, Recreation and tourism, Regulating Services, Hazard reduction","Human intrusions & disturbance, Recreational and tourism activities, Human settlements (non agricultural), Tourism and recreation areas, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Garbage and solid waste, Unspecified, Natural system modifications, Vegetation clearance/ land conversion","Jammu, Kashmir State","","","","No","No"
"1213","Tsomoriri","Asia","India","","2002-08-19","2002-08-19","12000","32.9","78.3","Tsomoriri. 19/08/02. Jammu & Kashmir. 12,000 ha. 32°54'N 078°18'E. Wetland Reserve. A freshwater to brackish lake lying at 4,595m above sea level, with wet meadows and borax-laden wetlands along the shores. The site is said to represent the only breeding ground outside of China for one of the most endangered cranes, the Black-necked crane (Grus nigricollis), and the only breeding ground for Bar-headed geese in India. The Great Tibetan Sheep or Argali (Ovis ammon hodgsoni) and Tibetan Wild Ass (Equus kiang) are endemic to the Tibetan plateau, of which the Changthang is the westernmost part. The barley fields at Korzok have been described as the highest cultivated land in the world. With no outflow, evaporation in the arid steppe conditions causes varying levels of salinity. Ancient trade routes and now major trekking routes pass the site. The 400-year-old Korzok monastery attracts many tourists, and the wetland is considered sacred by local Buddhist communities and the water is not used by them. The local community dedicated Tsomoriri as a WWF Sacred Gift for the Living Planet in recognition of WWF-India's project work there. The rapidly growing attraction of the recently opened area to western tourists (currently 2500 per summer) as an ""unspoilt destination"" with pristine high desert landscapes and lively cultural traditions brings great promise but also potential threats to the ecosystem. Ramsar site no. 1213. Most recent RIS information: 2002.","Yes","Yes","No","Yes","No","No","No","No","No","Inland wetlands, Q: Permanent saline/ brackish/ alkaline lakes","4595","4595","No","No","In preparation","Provisioning Services, Wetland non-food products, Cultural Services, Spiritual and inspirational, Recreation and tourism","Transportation and service corridors, Unspecified, Roads and railroads, Agriculture & aquaculture, Livestock farming and ranching, Pollution, Garbage and solid waste, Human intrusions & disturbance, Recreational and tourism activities, Biological resource use, Unspecified, Human settlements (non agricultural), Tourism and recreation areas","Eastern Ladakh, Jammu & Kashmir","","","","No","No"
